idx,branch_name,merge,left,right,notes,diff_contains_java_file,diff_size,test merge,sampled for testing,left_tree_fingerprint,right_tree_fingerprint,left parent test result,left parent test coverage,right parent test result,right parent test coverage,parents pass
101,refs/heads/master,9aa44b30b700661f90913b77339b8a51805f7af0,47482c5013fae76e7b1517fe62e08638c00fcdc0,3bd34af333e96141b55cb04e236958ab6472f03a,,True,151,False,False,00235cdf6acc62093a1f5d3706165f32888a749b759e89fdf0526732f22ab950,1d8acd89428f9707c920d089d7d85359765270edc766904738ef923555f7b733,Tests_failed,0.0,Tests_failed,0.0,False
102,refs/heads/master,47482c5013fae76e7b1517fe62e08638c00fcdc0,27f7522a9943f868aab99c72c2c2b840cbee4638,9e395f4b1c3413273edbf3e4736d5be4d6a192f3,,True,443,False,False,73c5be6df88b4b56a7ad8a9b8187e3dd8726aed211afe10c39a67d09dff6b35d,1a6f0409476c0c9ca1d9aa250279d5e9c6362af365e203a58e93245353cbda75,Tests_timedout,0.0,Tests_timedout,0.0,False
103,refs/heads/master,3d296938649ed230d8b6a5bde02c0d9c50467486,61e176473e887fd3c92062c4213e1918c409bffc,89f2febf5c6b9281c0708d9c9cc8659810127837,,False,180,False,False,,,,,,,
104,refs/heads/master,61e176473e887fd3c92062c4213e1918c409bffc,d2371e2170a24cd9ed2c1035c182b15cbbf0b61b,f37f8b835cfbe289f6b6b97c3a91d0d298320a49,,False,221,False,False,,,,,,,
105,refs/heads/master,af1243f6fbf9b8017ed0531a247fa68f0826403b,e87f5c7ddcf84930b515226d26eb1280eff0578e,aa3e836439b8f87eea5333e7f66ba71771ea67c0,,False,177,False,False,31b58379fbd9b1d736e6dc8346bf0122d9a280b4ef7da3a973307397b09daef2,75f47a21cb834cbf4c59df2e3724659bdf5f86e290c70f59490d884c77bd2d19,Tests_failed,0.0,Tests_failed,0.0,False
106,refs/heads/master,e4fc96ca025597d71df31db8af9ed407d38140d3,5b09addb52c6c0cb2dc71ff5bfbf9ebcbea58251,acf90b6ea3d43da4d0a66700c13b037e7cb9f7ef,,False,8,False,False,,,,,,,
107,refs/heads/master,c927926999bf94c69f0dc5c58cab0ca6997b6ecb,b1f6044e3703f065a97d717fa63770293462e291,586261d7457af9bd8a73e088303dfbc372752900,,False,51,False,False,,,,,,,
108,refs/heads/master,13d0f1aeff0a9de72ac957e0a7d527e1fbc0d403,5a5d3c62023bcff19cddc69775df7b86012a42cc,e3d995263738c83267c1e8eacd4edc1391552862,,True,495,False,False,dc73318b299a1f1e654d834de0450ab16e101cae23520b32b4a0eba82a072c6b,2ac44a69812349d2aaf45b1f99889425b36dc57abe5e004748eff5ee8ed39549,Tests_failed,0.0,Tests_failed,0.0,False
109,refs/heads/master,e3d995263738c83267c1e8eacd4edc1391552862,bbc5fb2c9fdf59b22b204b0f8b9786c25f8a6fb8,5bf333e2f504f9b238e49ed6ddefab732949de2d,,True,503,False,False,e95e2dd9f63f92e27e844e9275e6c78afa4b3e02100b7aceabf554234bdcf337,5d1ecfe1541480da76f21c2be3cdb523a43aa51fe2fc8e725492e07c81669ce8,Tests_failed,0.0,Tests_failed,0.0,False
110,refs/heads/master,0160e8018a3da815a0e6b7684a31c65930f8042a,5509d403a0a48375c114b1c17dd5582b1332cb91,cb66228cd45f75ad6b703aa3c30d1766e05766e3,,False,27,False,False,,,,,,,
111,refs/heads/master,9b427268fe1cfbd16d7cd89e87c958fbd9aa5020,c59f7efbcaf951bfc9cc1d821664d0d65b0e1447,0b236ebd635e8fc35d2e096ff46fd7c231e655ad,,True,194,False,False,436ae2370f2c6c77d92f3c87bd35ab0a0e18ca33e95b7c112523bdfeb7993a52,bd36e52705a4eb0359afdc15e46c4dc6366d77d3681f28993bbad3d2d530d7d4,Tests_failed,0.0,Tests_failed,0.0,False
112,refs/heads/master,250a017c2ff208625d0306c2ecb8fcb8ea14ea46,76aa7ef7e23c6417abf57183f08b3a220f031c3a,bce1ee999d42f18dc62654204fecbdae0482dca9,,False,290,False,False,983c6e12f0fc920592022fb9ee23ab424cd63d87de496f3aa75183d48d23dea6,d79ea8259e5f9bbb48aec68c704e83c77b8ced66afceba3984d47c29f2f69fff,Tests_failed,0.0,Tests_failed,0.0,False
113,refs/heads/master,413af8be22fd66a9114db8e2677a8077dfc0648f,12c3a8662352ddb14923135fa34c176674439222,64176a976811781be51de14a8357404ad1daa2ea,,True,676,False,False,b4c2aa9c76f99d61f81477630f62cda1a617a32028f4f33e04221db343763ef6,682bb84b3b9aca19d985500d14f647b04621ba9fe87d390444d091aaa9edead7,Tests_failed,0.0,Tests_failed,0.0,False
