idx,repository,language,architecture,community,continuous_integration,documentation,history,issues,license,size,unit_test,stars,scorebased_org,randomforest_org,scorebased_utl,randomforest_utl,head hash,head tree fingerprint,head test result
509,OpenGamma/OpenSIMM,Java,0.897959,3,0,0.310862,19.0,1.0,1,3873,0.327879,7,1,1,1,1,249afdbc16b2e022e01b2be72dd7f31a72f339ed,a4dd26a64f0d1aa7f9d32ff6778eb90b6658440d923ee7c848253c47bd291a5a,Tests_passed
521,McBarteks2x/173generator,Java,0.95122,0,0,0.0215,0.0,0.0,1,4198,0.000797,10,0,0,1,0,3ac069a0b285e389eba79784af5731a548f66bc9,229130d2bdacb5d43d66bf0fe49c2e65ab27b0ed2962fb087f5255fcca0a5c4f,Tests_passed
524,rxin/jvm-unsafe-utils,Java,1.0,1,1,0.361402,0.0,0.0,1,1788,0.200257,21,0,0,1,1,1b01a637df9e77f719fd8911ea921358e4d6c383,fc8e08d71a3cb2f1e016c5bdb5dc9cdd3c71dc90348fd01b944f81fed0a8d796,Tests_passed
530,qubole/presto-udfs,Java,0.888889,1,0,0.220939,0.0,0.0,1,1079,0.0,11,0,0,1,0,84aa41b8d31797115bbbcdc439e3d652e8bcfe8a,ded547535543bb71380bd5cdab5cd1b6eb864942f3c63fde77118a491b5feb2b,Tests_passed
540,trung/InMemoryJavaCompiler,Java,1.0,1,1,0.084806,0.0,0.0,1,269,0.142857,33,0,0,1,1,d84c404975dc308ee5a418c5af8a6629c5e6c995,1c38bf2815c5e05fb6a6785a0a9dbe9dec6ea87a514174600f15faa2785e8daf,Tests_passed
549,mrwilson/java-dirty,Java,1.0,1,1,0.0,0.0,0.0,0,595,0.47139,99,0,0,0,0,d34addd56fde159107fc8f8b6f4dba73f440f082,7b471c176ef05f71d2c38141be5af6e632b6abfcc6ee8eb1f68f86dcbd3819b9,Tests_passed
550,besil/Neo4jSNA,Java,0.9375,1,0,0.014625,0.0,0.0,1,595,0.0,13,0,0,1,0,af7317a3f2865fe73b9009782342b57019195ed7,ed977af3b7439c1b748c0195c9b400ec6276bdbd715b517ae586ea6df45ca73e,Tests_passed
553,conveyal/osm-lib,Java,0.884615,2,0,0.199328,0.0,0.0,1,1436,0.07877,15,1,0,1,1,4ff7fef141296ffe1d47a89ad40cefda7311566d,89270f03c46a9d912aa8b9c49ca40f27d59980561e1e7e86b1aea8715f63dc68,Tests_passed
575,eirbjo/jetty-console,Java,0.977273,1,0,0.248459,0.0,0.0,1,3336,0.010015,7,0,0,1,1,5bd32ecab12837394dd45fd15c51c3934afcd76b,e8d4d0219dc9d7410c61dbbd13be99282a83f9d75e44ec78023b081c72f17128,Tests_passed
578,te-con/ehour,Java,0.959762,1,0,0.129117,0.0,0.0,1,66307,0.210685,49,0,0,1,0,4e922be3e52caaf3fb8d89945cc163166e2bac7a,664dfe95a7cbdbca5844bee55c899b70100fa9e6c2cb9c9c0ace59f7609abb10,Tests_passed
